id,nombre
1,APC
2,Apple
3,Asus
4,Benq
5,Brother
6,Cisco
7,Compaq
8,Dell
9,DJI
10,D-LINK
11,ENCOM
12,Epson
13,Espo
14,ESTALKY
15,Evolis
16,FIRECAM
17,Forza
18,Gemini
19,Generico
20,Genius
21,Grandstream
22,Haier
23,HAVIT
24,HIKVISION
25,HP
26,Jooyotech
27,JVC
28,KLIPXTREME
29,Kyocera
30,Lenovo
31,Lexmark
32,LG
33,Linksys
34,Logitech
35,MAXELL
36,Microsoft
37,Newlink
38,NEXXT
39,ONIKUMA
40,Panasonic
41,POLAR
42,Polaroid
43,POLY
44,Premier
45,Ricoh
46,Riso
47,Samsung
48,Sankey
49,Selectron
50,SITEK
51,Smarbitt
52,Sun
53,SYSCOM
54,Toshiba
55,TP-LINK
56,Tripp-Lite
57,T-VSION
58,UniFi
59,ViewSonic
60,WD
61,Widmer
62,Yealink
63,ZKTeco
