id,name,id_ubication,id_direction
1,Administración General,14,1
2,Programa de Reciclaje,14,1
3,SubAdministración General,14,1
4,Igualdad de Oportunidades,9,1
5,Auditoría Interna,14,2
6,Cooperativa,9,3
7,Asociación,9,3
8,Dirección Administrativa,14,4
9,Cafeteria,14,4
10,Combustible,9,4
11,Reproducción,9,4
12,Almacén,14,4
13,Compras,14,4
14,Servicios Generales,9,4
15,Seguridad,9,4
16,Archivos Generales,9,4
17,Transporte,9,4
18,Coordinación Administrativa,9,4
19,Recepción,14,4
20,Salón de Reuniones,14,4
21,Asesoría Legal,14,5
22,Juzgado de Aseo,14,5
23,Fiscalización,14,5
24,Juzgado Ejecutor,14,5
25,Finanzas,14,6
26,Bienes Patrimoniales,14,6
27,Comercialización,14,6
28,Tesorería,14,6
29,Cartera Morosa,7,6
30,Contabilidad,14,6
31,Catastro,9,6
32,Presupuesto,14,6
33,Tesorería/Pesa,11,6
34,Cuentas,14,6
35,Operaciones,9,7
36,Barrido Diurno,12,7
37,Recolección,9,7
38,Barrido Nocturno,12,7
39,Mantenimientos Especiales,9,7
40,Taller,9,7
41,Atención Inmediata,9,7
42,Servicios Técnicos,14,8
43,Coordinación de RSCP,9,8
44,Planificación,14,8
45,Fiscalización - Contraloría,14,9
46,Oficina de Informática,14,10
47,Recursos Humanos,14,11
48,Trabajo Social,9,11
49,Archivo de RRHH,9,11
50,Planilla,14,11
51,Clinica,9,11
52,Capacitación,9,11
53,Relaciones Públicas,14,12
54,Fomento a la Cultura,9,12
55,Secretaría General,14,13
56,SINTAURDO,1,14
57,Barredora Mecánica,9,7
58,Comercialización,1,6
59,Almacén,9,4
60,Comercialización,2,6
61,Comercialización,3,6
62,Comercialización,4,6
63,Comercialización,5,6
64,Comercialización,6,6
65,Oficina de Informática,9,10
66,Recursos Humanos,12,11
