id,nombre,idMarca,idEquipo
1,03Y43CGH502043,47,24
2,1142N-A-K9,6,19
3,1142N-A-K9,6,6
4,11VLS0K200,30,25
5,11VMSOK200,30,25
6,1510X,8,15
7,1650 Storage,25,20
8,1708FPf,8,13
9,1728,36,22
10,20EZ41MM706280A5,21,23
11,324pf,25,13
12,32P0PYD,30,22
13,3548-F7U,30,25
14,50EGSE100U,11,24
15,65UR7800PSB,32,24
16,A1278,2,12
17,A1289,2,26
18,A1314,2,22
19,A1316,2,13
20,A1644,2,22
21,A1989,2,12
22,A3113,2,12
23,A3119,2,22
24,A3247,2,25
25,AIR-CAP26021-A-K10,6,6
26,AIR-CAP26021-A-K9,6,6
27,AS247,3,13
28,ATA186 / ATA188,6,23
29,B020-008-17,56,3
30,Back-5 550,1,27
31,BE750G,1,27
32,BR1500M2-LM,1,27
33,C3KX-NM-10G,6,21
34,CATALYST 2960,6,21
35,Catalyst 3850,6,21
36,Compaq 18,25,25
37,Compaq 6005,25,26
38,Compaq 6005,25,25
39,Compaq 6200,25,26
40,Compaq Pro 4300,25,25
41,Compaq Pro 6300,25,25
42,CP-6921,6,23
43,CP-7906G,6,23
44,CP-7911G,6,23
45,CP-7915G,6,23
46,CP-7937G,6,23
47,CP-7942G,6,23
48,CP-7960G,6,23
49,CX522,31,10
50,D1000,8,4
51,D3100,8,4
52,DES-1005A,10,21
53,DES-1008A,10,21
54,DES-1008D,10,21
55,Deskjet 2050,25,10
56,DS-7616NXI-K2,24,3
57,E170 SC,8,13
58,E170Sb,8,13
59,E170Sc,8,13
60,E178FPb,8,13
61,E1912Hf,8,13
62,E1914Hc,8,13
63,E1940S-PN,32,13
64,E2014H,8,13
65,E485,30,12
66,E966P,14,16
67,ECOSYS M5526cdw,29,10
68,ECOSYS P5026cdw,29,10
69,Edge 92Z,30,25
70,EG-KB-8020,11,22
71,EG-KB-8021,11,22
72,EG-KB-8022,11,22
73,EliteBook 445 G6,25,12
74,EliteBook 645 G10,25,12
75,EliteDesk 705 G3 SFF,25,26
76,EndPoint 9971,6,23
77,FOC-1500RUL,17,27
78,FOC-3000RUL,17,27
79,FX 890II,12,10
80,FX-1500LCD,17,27
81,FX-2190,12,10
82,FX-2190II,12,10
83,G-21,39,22
84,Genérico,55,21
85,Genérico,21,23
86,Genérico,60,9
87,Genérico,19,11
88,Genérico,38,21
89,Genérico,25,22
90,Genérico,25,25
91,Genérico,22,24
92,Genérico,19,7
93,Genérico,19,20
94,Genérico,47,24
95,Genérico,32,24
96,Genérico,19,22
97,Genérico,8,25
98,Genérico,8,22
99,Genérico,17,27
100,Genérico,51,27
101,Genérico,16,22
102,Genérico,24,3
103,Genérico,57,21
104,Genérico,19,21
105,Genérico,42,22
106,Genérico,19,27
107,Genérico,4,15
